herb,symptoms,benefit
Aloe Vera,acne burn skin wound,Soothes skin and heals wounds
Ashwagandha,stress anxiety weakness insomnia,Reduces stress and improves strength
Bay Leaf,indigestion gas bloating,Improves digestion and reduces gas
Cinnamon,diabetes cold cough,Controls sugar and improves immunity
Clove,toothache cough cold,Relieves pain and kills bacteria
Coriander,fever digestion acidity,Cools body and improves digestion
Curry Leaves,diabetes hair loss digestion,Controls sugar and improves hair growth
Fenugreek,diabetes indigestion constipation,Improves digestion and sugar control
Garlic,cholesterol blood pressure immunity,Improves heart health and immunity
Ginger,cough cold sore throat indigestion,Reduces inflammation and improves digestion
Gotu Kola,memory anxiety skin,Improves brain function and skin health
Hibiscus,high blood pressure hair loss,Controls blood pressure and improves hair
Indian Gooseberry,immunity cough weakness,Boosts immunity and strength
Lemongrass,fever headache digestion,Reduces fever and improves digestion
Mint,indigestion nausea headache,Improves digestion and relieves headache
Neem,fever acne skin infection,Detoxifies blood and treats skin problems
Pepper,cold cough digestion,Improves immunity and digestion
Pirandai,bone fracture joint pain,Strengthens bones and reduces pain
Tulsi,cough cold fever immunity,Boosts immunity and respiratory health
Turmeric,inflammation pain wound,Anti-inflammatory and antiseptic
